Protocol,Mode,NetworkType,Nodes,Sinks,PPS,PacketSize,Seed,SimTime,MinSpeed,MaxSpeed,CcBaseThreshold,TxPackets,RxPackets,LostPackets,PDR(%),PacketLossRate(%),AvgE2EDelay(ms),Throughput(Kbps),TotalEnergyJ,AvgEnergyPerNodeJ
Standard AODV,aodv,802.11,100,10,100,512,1,30.00,5.00,5.00,4,49097,13122,35975,26.73,73.27,260.7996,166.67,3378.4783,33.7848
Standard AODV,aodv,802.11,20,10,100,512,1,30.00,5.00,5.00,4,34177,22107,12070,64.68,35.32,354.0201,2673.33,688.7023,34.4351
Standard AODV,aodv,802.11,40,10,100,512,1,30.00,5.00,5.00,4,35198,10209,24989,29.00,71.00,250.1092,865.79,1358.3999,33.9600
Standard AODV,aodv,802.11,60,10,100,512,1,30.00,5.00,5.00,4,39408,8470,30938,21.49,78.51,315.5625,255.98,2031.2407,33.8540
Standard AODV,aodv,802.11,80,10,100,512,1,30.00,5.00,5.00,4,45253,9627,35626,21.27,78.73,299.6669,143.71,2709.0945,33.8637
CC-AODV,cc-aodv,802.11,100,10,100,512,1,30.00,5.00,5.00,4,50841,12123,38718,23.84,76.16,267.5638,163.60,3381.3438,33.8134
CC-AODV,cc-aodv,802.11,20,10,100,512,1,30.00,5.00,5.00,4,32480,22526,9954,69.35,30.65,297.5100,2870.01,689.2986,34.4649
CC-AODV,cc-aodv,802.11,40,10,100,512,1,30.00,5.00,5.00,4,37923,10567,27356,27.86,72.14,262.4838,678.76,1361.7630,34.0441
CC-AODV,cc-aodv,802.11,60,10,100,512,1,30.00,5.00,5.00,4,42239,8917,33322,21.11,78.89,289.8692,164.78,2033.3416,33.8890
CC-AODV,cc-aodv,802.11,80,10,100,512,1,30.00,5.00,5.00,4,44527,8961,35566,20.12,79.88,281.4048,133.37,2708.5491,33.8569
ECC-AODV,ecc-aodv,802.11,20,10,100,512,1,30.00,5.00,5.00,4,32027,22146,9881,69.15,30.85,337.7050,2876.57,689.6078,34.4804
ECC-AODV,ecc-aodv,802.11,40,10,100,512,1,30.00,5.00,5.00,4,37992,12218,25774,32.16,67.84,234.1886,867.83,1363.0135,34.0753
