Protocol,Mode,NetworkType,Nodes,Sinks,PPS,PacketSize,Seed,SimTime,MinSpeed,MaxSpeed,CcBaseThreshold,TxPackets,RxPackets,LostPackets,PDR(%),PacketLossRate(%),AvgE2EDelay(ms),Throughput(Kbps),TotalEnergyJ,AvgEnergyPerNodeJ
Standard AODV,aodv,802.11,100,10,100,512,1,10.00,5.00,5.00,4,18641,6107,12534,32.76,67.24,315.8079,234.39,1678.5847,16.7858
Standard AODV,aodv,802.11,20,10,100,512,1,20.00,5.00,5.00,4,23280,14196,9084,60.98,39.02,335.4096,2443.77,513.5229,25.6761
Standard AODV,aodv,802.11,40,10,100,512,1,20.00,5.00,5.00,4,23617,5805,17812,24.58,75.42,298.6259,578.17,1013.3893,25.3347
Standard AODV,aodv,802.11,60,10,100,512,1,15.00,5.00,5.00,4,21633,5492,16141,25.39,74.61,296.5356,172.94,1264.8118,21.0802
Standard AODV,aodv,802.11,80,10,100,512,1,10.00,5.00,5.00,4,17130,4649,12481,27.14,72.86,342.0379,176.22,1343.9062,16.7988
CC-AODV,cc-aodv,802.11,100,10,100,512,1,10.00,5.00,5.00,4,20707,6650,14057,32.11,67.89,300.9465,252.78,1683.7501,16.8375
CC-AODV,cc-aodv,802.11,20,10,100,512,1,20.00,5.00,5.00,4,21782,13971,7811,64.14,35.86,333.7287,2574.98,513.8260,25.6913
CC-AODV,cc-aodv,802.11,40,10,100,512,1,20.00,5.00,5.00,4,25990,6738,19252,25.93,74.07,295.6771,458.91,1016.6569,25.4164
CC-AODV,cc-aodv,802.11,60,10,100,512,1,15.00,5.00,5.00,4,21245,4937,16308,23.24,76.76,348.2474,177.78,1262.8463,21.0474
CC-AODV,cc-aodv,802.11,80,10,100,512,1,10.00,5.00,5.00,4,19071,5980,13091,31.36,68.64,336.9880,228.52,1348.9389,16.8617
ECC-AODV,ecc-aodv,802.11,100,10,100,512,1,10.00,5.00,5.00,4,20761,6642,14119,31.99,68.01,313.5052,258.26,1686.6285,16.8663
ECC-AODV,ecc-aodv,802.11,20,10,100,512,1,20.00,5.00,5.00,4,21403,14142,7261,66.07,33.93,346.6451,2685.99,514.1373,25.7069
ECC-AODV,ecc-aodv,802.11,40,10,100,512,1,20.00,5.00,5.00,4,23880,6610,17270,27.68,72.32,280.9442,717.26,1015.4401,25.3860
ECC-AODV,ecc-aodv,802.11,60,10,100,512,1,15.00,5.00,5.00,4,20364,4161,16203,20.43,79.57,323.4530,110.84,1262.0212,21.0337
ECC-AODV,ecc-aodv,802.11,80,10,100,512,1,10.00,5.00,5.00,4,18500,5091,13409,27.52,72.48,316.1608,192.93,1347.1174,16.8390
Standard AODV,aodv,802.15.4,100,10,100,512,1,10.00,5.00,5.00,4,16267,6699,9568,41.18,58.82,133.8065,322.71,1693.0399,16.9304
Standard AODV,aodv,802.15.4,20,10,100,512,1,20.00,5.00,5.00,4,21365,2694,18671,12.61,87.39,326.9201,271.82,527.8114,26.3906
Standard AODV,aodv,802.15.4,40,10,100,512,1,20.00,5.00,5.00,4,23972,4864,19108,20.29,79.71,278.7159,268.59,1046.2324,26.1558
Standard AODV,aodv,802.15.4,60,10,100,512,1,15.00,5.00,5.00,4,21363,6846,14517,32.05,67.95,187.2627,337.55,1289.5236,21.4921
Standard AODV,aodv,802.15.4,80,10,100,512,1,10.00,5.00,5.00,4,15026,5648,9378,37.59,62.41,150.7429,324.54,1357.8768,16.9735
CC-AODV,cc-aodv,802.15.4,100,10,100,512,1,10.00,5.00,5.00,4,13577,4210,9367,31.01,68.99,155.3154,207.41,1686.7581,16.8676
CC-AODV,cc-aodv,802.15.4,20,10,100,512,1,20.00,5.00,5.00,4,21308,2740,18568,12.86,87.14,348.7246,281.03,527.0979,26.3549
CC-AODV,cc-aodv,802.15.4,40,10,100,512,1,20.00,5.00,5.00,4,22867,4001,18866,17.50,82.50,288.2648,281.14,1041.3111,26.0328
CC-AODV,cc-aodv,802.15.4,60,10,100,512,1,15.00,5.00,5.00,4,18511,4583,13928,24.76,75.24,241.9533,301.25,1284.4266,21.4071
CC-AODV,cc-aodv,802.15.4,80,10,100,512,1,10.00,5.00,5.00,4,13580,4325,9255,31.85,68.15,192.7427,289.13,1365.1312,17.0641
ECC-AODV,ecc-aodv,802.15.4,100,10,100,512,1,10.00,5.00,5.00,4,18281,8592,9689,47.00,53.00,100.7250,376.54,1689.5850,16.8959
ECC-AODV,ecc-aodv,802.15.4,20,10,100,512,1,20.00,5.00,5.00,4,21270,3130,18140,14.72,85.28,379.5245,342.81,526.7656,26.3383
ECC-AODV,ecc-aodv,802.15.4,40,10,100,512,1,20.00,5.00,5.00,4,27245,7783,19462,28.57,71.43,161.2668,296.95,1042.6310,26.0658
ECC-AODV,ecc-aodv,802.15.4,60,10,100,512,1,15.00,5.00,5.00,4,23495,8498,14997,36.17,63.83,146.6756,279.07,1284.7663,21.4128
ECC-AODV,ecc-aodv,802.15.4,80,10,100,512,1,10.00,5.00,5.00,4,14576,5088,9488,34.91,65.09,133.1524,278.23,1358.7208,16.9840
Standard AODV,aodv,802.11,40,10,100,512,1,20.00,5.00,5.00,4,23617,5805,17812,24.58,75.42,298.6259,578.17,1013.3893,25.3347
Standard AODV,aodv,802.11,40,20,100,512,1,20.00,5.00,5.00,4,44285,11892,32393,26.85,73.15,312.0992,1790.02,1023.3003,25.5825
Standard AODV,aodv,802.11,40,20,100,512,1,20.00,5.00,5.00,4,44285,11892,32393,26.85,73.15,312.0992,1790.02,1023.3003,25.5825
