time,node,src,dst,hopcount,interface
1.251000,4,10.1.1.5,10.1.1.26,0,1
1.251000,5,10.1.1.6,10.1.1.25,0,1
1.253000,2,10.1.1.3,10.1.1.28,0,1
1.253000,11,10.1.1.12,10.1.1.19,0,1
1.253000,12,10.1.1.13,10.1.1.18,0,1
1.253946,6,10.1.1.13,10.1.1.18,0,1
1.253946,18,10.1.1.13,10.1.1.18,0,1
1.253947,0,10.1.1.13,10.1.1.18,0,1
1.253947,24,10.1.1.13,10.1.1.18,0,1
1.253947,25,10.1.1.13,10.1.1.18,0,1
1.254314,4,10.1.1.6,10.1.1.25,0,1
1.254314,11,10.1.1.6,10.1.1.25,0,1
1.254314,10,10.1.1.6,10.1.1.25,0,1
1.254314,3,10.1.1.6,10.1.1.25,0,1
1.254314,17,10.1.1.6,10.1.1.25,0,1
1.254314,16,10.1.1.6,10.1.1.25,0,1
1.254314,23,10.1.1.6,10.1.1.25,0,1
1.255000,3,10.1.1.4,10.1.1.27,0,1
1.255280,3,10.1.1.5,10.1.1.26,0,1
1.255280,5,10.1.1.5,10.1.1.26,0,1
1.255280,10,10.1.1.5,10.1.1.26,0,1
1.255280,9,10.1.1.5,10.1.1.26,0,1
1.255280,11,10.1.1.5,10.1.1.26,0,1
1.255280,2,10.1.1.5,10.1.1.26,0,1
1.255280,16,10.1.1.5,10.1.1.26,0,1
1.255281,8,10.1.1.5,10.1.1.26,0,1
1.255281,15,10.1.1.5,10.1.1.26,0,1
1.255281,17,10.1.1.5,10.1.1.26,0,1
1.255281,14,10.1.1.5,10.1.1.26,0,1
1.255281,1,10.1.1.5,10.1.1.26,0,1
1.255281,22,10.1.1.5,10.1.1.26,0,1
1.255281,7,10.1.1.5,10.1.1.26,0,1
1.255281,21,10.1.1.5,10.1.1.26,0,1
1.255281,23,10.1.1.5,10.1.1.26,0,1
1.256314,1,10.1.1.3,10.1.1.28,0,1
1.256314,3,10.1.1.3,10.1.1.28,0,1
1.256314,8,10.1.1.3,10.1.1.28,0,1
1.256314,7,10.1.1.3,10.1.1.28,0,1
1.256314,9,10.1.1.3,10.1.1.28,0,1
1.256314,0,10.1.1.3,10.1.1.28,0,1
1.256314,4,10.1.1.3,10.1.1.28,0,1
1.256314,14,10.1.1.3,10.1.1.28,0,1
1.256314,6,10.1.1.3,10.1.1.28,0,1
1.256314,10,10.1.1.3,10.1.1.28,0,1
1.256314,13,10.1.1.3,10.1.1.28,0,1
1.256314,15,10.1.1.3,10.1.1.28,0,1
1.256314,12,10.1.1.3,10.1.1.28,0,1
1.256314,16,10.1.1.3,10.1.1.28,0,1
1.256315,5,10.1.1.3,10.1.1.28,0,1
1.256315,20,10.1.1.3,10.1.1.28,0,1
1.256315,11,10.1.1.3,10.1.1.28,0,1
1.256315,19,10.1.1.3,10.1.1.28,0,1
1.256315,21,10.1.1.3,10.1.1.28,0,1
1.256315,17,10.1.1.3,10.1.1.28,0,1
1.256315,18,10.1.1.3,10.1.1.28,0,1
1.256315,22,10.1.1.3,10.1.1.28,0,1
1.257000,0,10.1.1.1,10.1.1.30,0,1
1.258016,1,10.1.1.1,10.1.1.30,0,1
1.258016,6,10.1.1.1,10.1.1.30,0,1
1.258016,7,10.1.1.1,10.1.1.30,0,1
1.258016,2,10.1.1.1,10.1.1.30,0,1
1.258016,12,10.1.1.1,10.1.1.30,0,1
1.258016,8,10.1.1.1,10.1.1.30,0,1
1.258016,13,10.1.1.1,10.1.1.30,0,1
1.258017,14,10.1.1.1,10.1.1.30,0,1
