time,context,src,dst,size,reason,interface
2.072974,/NodeList/19/$ns3::Ipv4L3Protocol/Drop,10.1.1.32,10.1.1.12,20,1,1
2.548092,/NodeList/10/$ns3::Ipv4L3Protocol/Drop,10.1.1.18,10.1.1.8,20,1,1
2.560902,/NodeList/1/$ns3::Ipv4L3Protocol/Drop,10.1.1.25,10.1.1.8,20,1,1
2.584718,/NodeList/10/$ns3::Ipv4L3Protocol/Drop,10.1.1.17,10.1.1.8,20,1,1
2.629804,/NodeList/4/$ns3::Ipv4L3Protocol/Drop,10.1.1.11,10.1.1.26,10,1,1
3.083398,/NodeList/15/$ns3::Ipv4L3Protocol/Drop,10.1.1.2,10.1.1.39,520,2,1
3.141879,/NodeList/12/$ns3::Ipv4L3Protocol/Drop,10.1.1.12,10.1.1.34,10,1,1
3.188822,/NodeList/12/$ns3::Ipv4L3Protocol/Drop,10.1.1.12,10.1.1.14,10,1,1
3.299474,/NodeList/15/$ns3::Ipv4L3Protocol/Drop,10.1.1.4,10.1.1.37,520,2,1
3.354499,/NodeList/18/$ns3::Ipv4L3Protocol/Drop,10.1.1.11,10.1.1.27,10,1,1
3.376624,/NodeList/20/$ns3::Ipv4L3Protocol/Drop,10.1.1.35,10.1.1.40,10,1,1
3.466256,/NodeList/11/$ns3::Ipv4L3Protocol/Drop,10.1.1.4,10.1.1.16,10,1,1
3.632761,/NodeList/39/$ns3::Ipv4L3Protocol/Drop,10.1.1.17,10.1.1.29,10,1,1
3.803076,/NodeList/9/$ns3::Ipv4L3Protocol/Drop,10.1.1.4,10.1.1.37,520,2,1
3.909941,/NodeList/12/$ns3::Ipv4L3Protocol/Drop,10.1.1.6,10.1.1.14,10,1,1
4.164854,/NodeList/14/$ns3::Ipv4L3Protocol/Drop,10.1.1.8,10.1.1.33,520,2,1
4.167354,/NodeList/14/$ns3::Ipv4L3Protocol/Drop,10.1.1.8,10.1.1.33,520,2,1
4.171702,/NodeList/14/$ns3::Ipv4L3Protocol/Drop,10.1.1.8,10.1.1.33,520,2,1
4.180565,/NodeList/25/$ns3::Ipv4L3Protocol/Drop,10.1.1.27,10.1.1.11,20,1,1
4.182578,/NodeList/20/$ns3::Ipv4L3Protocol/Drop,10.1.1.35,10.1.1.33,10,2,1
4.187250,/NodeList/16/$ns3::Ipv4L3Protocol/Drop,10.1.1.11,10.1.1.24,10,1,1
4.193230,/NodeList/18/$ns3::Ipv4L3Protocol/Drop,10.1.1.18,10.1.1.29,30,1,1
4.246321,/NodeList/24/$ns3::Ipv4L3Protocol/Drop,10.1.1.38,10.1.1.27,20,1,1
4.355406,/NodeList/10/$ns3::Ipv4L3Protocol/Drop,10.1.1.18,10.1.1.31,10,1,1
4.460396,/NodeList/25/$ns3::Ipv4L3Protocol/Drop,10.1.1.19,10.1.1.31,10,1,1
4.640712,/NodeList/20/$ns3::Ipv4L3Protocol/Drop,10.1.1.21,10.1.1.33,30,5,0
4.641129,/NodeList/22/$ns3::Ipv4L3Protocol/Drop,10.1.1.3,10.1.1.38,520,2,1
4.700246,/NodeList/14/$ns3::Ipv4L3Protocol/Drop,10.1.1.8,10.1.1.33,520,2,1
4.821783,/NodeList/24/$ns3::Ipv4L3Protocol/Drop,10.1.1.18,10.1.1.16,10,1,1
4.838292,/NodeList/18/$ns3::Ipv4L3Protocol/Drop,10.1.1.18,10.1.1.25,10,1,1
4.992869,/NodeList/14/$ns3::Ipv4L3Protocol/Drop,10.1.1.8,10.1.1.33,520,2,1
5.021272,/NodeList/16/$ns3::Ipv4L3Protocol/Drop,10.1.1.29,10.1.1.18,36,1,1
5.145778,/NodeList/11/$ns3::Ipv4L3Protocol/Drop,10.1.1.11,10.1.1.16,10,1,1
5.470209,/NodeList/1/$ns3::Ipv4L3Protocol/Drop,10.1.1.15,10.1.1.8,28,1,1
5.533699,/NodeList/10/$ns3::Ipv4L3Protocol/Drop,10.1.1.17,10.1.1.5,20,1,1
5.661478,/NodeList/6/$ns3::Ipv4L3Protocol/Drop,10.1.1.21,10.1.1.35,30,1,1
5.725308,/NodeList/1/$ns3::Ipv4L3Protocol/Drop,10.1.1.8,10.1.1.33,520,2,1
5.741320,/NodeList/1/$ns3::Ipv4L3Protocol/Drop,10.1.1.8,10.1.1.33,520,2,1
5.743774,/NodeList/1/$ns3::Ipv4L3Protocol/Drop,10.1.1.8,10.1.1.33,520,2,1
5.755537,/NodeList/1/$ns3::Ipv4L3Protocol/Drop,10.1.1.8,10.1.1.33,520,2,1
5.811732,/NodeList/38/$ns3::Ipv4L3Protocol/Drop,10.1.1.25,10.1.1.34,10,1,1
6.091226,/NodeList/31/$ns3::Ipv4L3Protocol/Drop,10.1.1.25,10.1.1.28,10,1,1
6.137319,/NodeList/24/$ns3::Ipv4L3Protocol/Drop,10.1.1.28,10.1.1.11,20,1,1
6.359240,/NodeList/29/$ns3::Ipv4L3Protocol/Drop,10.1.1.5,10.1.1.36,520,2,1
6.364131,/NodeList/29/$ns3::Ipv4L3Protocol/Drop,10.1.1.5,10.1.1.36,520,2,1
6.530465,/NodeList/1/$ns3::Ipv4L3Protocol/Drop,10.1.1.8,10.1.1.33,520,2,1
6.532471,/NodeList/1/$ns3::Ipv4L3Protocol/Drop,10.1.1.8,10.1.1.33,520,2,1
6.555018,/NodeList/1/$ns3::Ipv4L3Protocol/Drop,10.1.1.8,10.1.1.33,520,2,1
6.567960,/NodeList/24/$ns3::Ipv4L3Protocol/Drop,10.1.1.18,10.1.1.33,10,1,1
6.601296,/NodeList/0/$ns3::Ipv4L3Protocol/Drop,10.1.1.8,10.1.1.33,520,2,1
6.737513,/NodeList/28/$ns3::Ipv4L3Protocol/Drop,10.1.1.4,10.1.1.37,520,2,1
6.826779,/NodeList/17/$ns3::Ipv4L3Protocol/Drop,10.1.1.14,10.1.1.27,520,2,1
6.854344,/NodeList/28/$ns3::Ipv4L3Protocol/Drop,10.1.1.4,10.1.1.37,520,2,1
6.861395,/NodeList/28/$ns3::Ipv4L3Protocol/Drop,10.1.1.4,10.1.1.37,520,2,1
6.892814,/NodeList/30/$ns3::Ipv4L3Protocol/Drop,10.1.1.1,10.1.1.40,520,2,1
6.895138,/NodeList/3/$ns3::Ipv4L3Protocol/Drop,10.1.1.9,10.1.1.18,28,1,1
7.616995,/NodeList/15/$ns3::Ipv4L3Protocol/Drop,10.1.1.10,10.1.1.21,28,1,1
7.680118,/NodeList/9/$ns3::Ipv4L3Protocol/Drop,10.1.1.30,10.1.1.32,30,1,1
7.702576,/NodeList/9/$ns3::Ipv4L3Protocol/Drop,10.1.1.30,10.1.1.32,30,1,1
9.360142,/NodeList/15/$ns3::Ipv4L3Protocol/Drop,10.1.1.18,10.1.1.22,10,1,1
9.405168,/NodeList/15/$ns3::Ipv4L3Protocol/Drop,10.1.1.18,10.1.1.37,10,1,1
9.426570,/NodeList/7/$ns3::Ipv4L3Protocol/Drop,10.1.1.1,10.1.1.40,520,2,1
9.720933,/NodeList/17/$ns3::Ipv4L3Protocol/Drop,10.1.1.26,10.1.1.37,10,1,1
9.809335,/NodeList/36/$ns3::Ipv4L3Protocol/Drop,10.1.1.29,10.1.1.38,10,1,1
9.873655,/NodeList/1/$ns3::Ipv4L3Protocol/Drop,10.1.1.11,10.1.1.1,20,1,1
9.884196,/NodeList/1/$ns3::Ipv4L3Protocol/Drop,10.1.1.16,10.1.1.1,20,1,1
9.892199,/NodeList/12/$ns3::Ipv4L3Protocol/Drop,10.1.1.20,10.1.1.34,30,1,1
9.921855,/NodeList/26/$ns3::Ipv4L3Protocol/Drop,10.1.1.20,10.1.1.33,10,1,1
10.054882,/NodeList/7/$ns3::Ipv4L3Protocol/Drop,10.1.1.1,10.1.1.22,10,1,1
10.119896,/NodeList/16/$ns3::Ipv4L3Protocol/Drop,10.1.1.4,10.1.1.16,10,1,1
10.299166,/NodeList/15/$ns3::Ipv4L3Protocol/Drop,10.1.1.1,10.1.1.40,520,2,1
10.675081,/NodeList/23/$ns3::Ipv4L3Protocol/Drop,10.1.1.5,10.1.1.11,10,1,1
10.864951,/NodeList/1/$ns3::Ipv4L3Protocol/Drop,10.1.1.8,10.1.1.33,520,2,1
11.143017,/NodeList/16/$ns3::Ipv4L3Protocol/Drop,10.1.1.3,10.1.1.13,10,1,1
11.163600,/NodeList/7/$ns3::Ipv4L3Protocol/Drop,10.1.1.1,10.1.1.40,520,2,1
11.165332,/NodeList/0/$ns3::Ipv4L3Protocol/Drop,10.1.1.8,10.1.1.33,520,2,1
11.545202,/NodeList/23/$ns3::Ipv4L3Protocol/Drop,10.1.1.18,10.1.1.13,10,1,1
11.835401,/NodeList/17/$ns3::Ipv4L3Protocol/Drop,10.1.1.11,10.1.1.22,10,1,1
11.875058,/NodeList/15/$ns3::Ipv4L3Protocol/Drop,10.1.1.9,10.1.1.24,10,1,1
11.986406,/NodeList/36/$ns3::Ipv4L3Protocol/Drop,10.1.1.23,10.1.1.12,30,2,1
12.114603,/NodeList/33/$ns3::Ipv4L3Protocol/Drop,10.1.1.21,10.1.1.40,30,1,1
12.878103,/NodeList/1/$ns3::Ipv4L3Protocol/Drop,10.1.1.9,10.1.1.13,10,1,1
13.094953,/NodeList/19/$ns3::Ipv4L3Protocol/Drop,10.1.1.6,10.1.1.33,10,1,1
13.221467,/NodeList/30/$ns3::Ipv4L3Protocol/Drop,10.1.1.17,10.1.1.5,20,1,1
14.273283,/NodeList/1/$ns3::Ipv4L3Protocol/Drop,10.1.1.8,10.1.1.11,28,1,1
14.286529,/NodeList/23/$ns3::Ipv4L3Protocol/Drop,10.1.1.32,10.1.1.10,28,1,1
15.639954,/NodeList/8/$ns3::Ipv4L3Protocol/Drop,10.1.1.12,10.1.1.40,30,1,1
15.654115,/NodeList/0/$ns3::Ipv4L3Protocol/Drop,10.1.1.2,10.1.1.12,30,2,1
16.706360,/NodeList/10/$ns3::Ipv4L3Protocol/Drop,10.1.1.18,10.1.1.15,20,1,1
16.721959,/NodeList/3/$ns3::Ipv4L3Protocol/Drop,10.1.1.2,10.1.1.6,28,1,1
18.294804,/NodeList/36/$ns3::Ipv4L3Protocol/Drop,10.1.1.22,10.1.1.32,28,1,1
18.816904,/NodeList/33/$ns3::Ipv4L3Protocol/Drop,10.1.1.40,10.1.1.37,20,1,1
