time,node,src,dst,hopcount,interface
1.255946,13,10.1.1.7,10.1.1.34,1,1
1.255946,13,10.1.1.34,10.1.1.7,1,1
1.255946,12,10.1.1.7,10.1.1.34,1,1
1.255946,12,10.1.1.34,10.1.1.7,1,1
1.258946,15,10.1.1.15,10.1.1.26,1,1
1.258946,15,10.1.1.26,10.1.1.15,1,1
1.258946,22,10.1.1.15,10.1.1.26,1,1
1.258946,22,10.1.1.26,10.1.1.15,1,1
1.258947,29,10.1.1.15,10.1.1.26,1,1
1.258947,29,10.1.1.26,10.1.1.15,1,1
1.258947,36,10.1.1.15,10.1.1.26,1,1
1.258947,36,10.1.1.26,10.1.1.15,1,1
1.266075,14,10.1.1.15,10.1.1.26,1,1
1.268252,6,10.1.1.7,10.1.1.34,1,1
1.273507,14,10.1.1.15,10.1.1.26,1,1
1.276630,33,10.1.1.34,10.1.1.7,1,1
1.282491,25,10.1.1.26,10.1.1.15,1,1
1.491946,12,10.1.1.6,10.1.1.35,1,1
1.491946,12,10.1.1.35,10.1.1.6,1,1
1.491946,13,10.1.1.6,10.1.1.35,1,1
1.491946,13,10.1.1.35,10.1.1.6,1,1
1.491947,19,10.1.1.6,10.1.1.35,1,1
1.491947,19,10.1.1.35,10.1.1.6,1,1
1.491947,20,10.1.1.6,10.1.1.35,1,1
1.491947,20,10.1.1.35,10.1.1.6,1,1
1.492893,21,10.1.1.3,10.1.1.38,1,1
1.492893,21,10.1.1.38,10.1.1.3,2,1
1.492893,22,10.1.1.3,10.1.1.38,1,1
1.492893,22,10.1.1.38,10.1.1.3,2,1
1.492894,28,10.1.1.3,10.1.1.38,1,1
1.492894,28,10.1.1.38,10.1.1.3,2,1
1.492894,23,10.1.1.3,10.1.1.38,1,1
1.492894,23,10.1.1.38,10.1.1.3,2,1
1.492894,29,10.1.1.3,10.1.1.38,1,1
1.492894,29,10.1.1.38,10.1.1.3,2,1
1.492894,30,10.1.1.3,10.1.1.38,1,1
1.492894,30,10.1.1.38,10.1.1.3,2,1
1.492894,35,10.1.1.3,10.1.1.38,1,1
1.492894,35,10.1.1.38,10.1.1.3,2,1
1.492894,36,10.1.1.3,10.1.1.38,1,1
1.492894,36,10.1.1.38,10.1.1.3,2,1
1.492894,31,10.1.1.3,10.1.1.38,1,1
1.492894,31,10.1.1.38,10.1.1.3,2,1
1.492894,37,10.1.1.3,10.1.1.38,0,1
1.494815,15,10.1.1.2,10.1.1.39,1,1
1.494815,15,10.1.1.39,10.1.1.2,1,1
1.494815,16,10.1.1.2,10.1.1.39,1,1
1.494815,16,10.1.1.39,10.1.1.2,1,1
1.494815,17,10.1.1.2,10.1.1.39,1,1
1.494815,17,10.1.1.39,10.1.1.2,1,1
1.494815,22,10.1.1.2,10.1.1.39,1,1
1.494815,22,10.1.1.39,10.1.1.2,1,1
1.494815,21,10.1.1.2,10.1.1.39,1,1
1.494815,21,10.1.1.39,10.1.1.2,1,1
1.494815,23,10.1.1.2,10.1.1.39,1,1
1.494815,23,10.1.1.39,10.1.1.2,1,1
1.494816,24,10.1.1.2,10.1.1.39,1,1
1.494816,24,10.1.1.39,10.1.1.2,1,1
1.500259,17,10.1.1.19,10.1.1.22,1,1
1.500259,17,10.1.1.22,10.1.1.19,1,1
1.500259,10,10.1.1.19,10.1.1.22,1,1
1.500259,10,10.1.1.22,10.1.1.19,1,1
1.500259,24,10.1.1.19,10.1.1.22,1,1
1.500259,24,10.1.1.22,10.1.1.19,1,1
1.500259,31,10.1.1.19,10.1.1.22,1,1
1.500259,31,10.1.1.22,10.1.1.19,1,1
1.500260,38,10.1.1.19,10.1.1.22,1,1
1.500260,38,10.1.1.22,10.1.1.19,1,1
1.503936,14,10.1.1.3,10.1.1.38,1,1
1.503936,14,10.1.1.3,10.1.1.38,2,1
1.505117,32,10.1.1.3,10.1.1.38,1,1
1.505117,32,10.1.1.38,10.1.1.3,2,1
1.505117,38,10.1.1.3,10.1.1.38,1,1
1.505117,38,10.1.1.38,10.1.1.3,2,1
1.510661,37,10.1.1.38,10.1.1.3,2,1
1.511902,37,10.1.1.19,10.1.1.22,1,1
1.511902,37,10.1.1.22,10.1.1.19,2,1
1.511902,30,10.1.1.19,10.1.1.22,1,1
1.511902,30,10.1.1.22,10.1.1.19,2,1
1.511902,36,10.1.1.19,10.1.1.22,1,1
1.511902,36,10.1.1.22,10.1.1.19,2,1
1.513469,37,10.1.1.38,10.1.1.3,2,1
1.520441,16,10.1.1.1,10.1.1.40,1,1
1.520441,16,10.1.1.40,10.1.1.1,2,1
1.520441,22,10.1.1.1,10.1.1.40,1,1
1.520441,22,10.1.1.40,10.1.1.1,2,1
1.520442,23,10.1.1.1,10.1.1.40,1,1
1.520442,23,10.1.1.40,10.1.1.1,2,1
1.520442,17,10.1.1.1,10.1.1.40,1,1
1.520442,17,10.1.1.40,10.1.1.1,2,1
1.520442,24,10.1.1.1,10.1.1.40,1,1
1.520442,24,10.1.1.40,10.1.1.1,2,1
1.522936,23,10.1.1.19,10.1.1.22,1,1
1.522936,23,10.1.1.22,10.1.1.19,2,1
1.525572,18,10.1.1.1,10.1.1.40,1,1
1.525572,18,10.1.1.40,10.1.1.1,2,1
1.525572,19,10.1.1.1,10.1.1.40,1,1
1.525572,19,10.1.1.40,10.1.1.1,2,1
1.525572,29,10.1.1.1,10.1.1.40,1,1
1.525572,29,10.1.1.40,10.1.1.1,2,1
1.527596,2,10.1.1.19,10.1.1.22,1,1
1.527596,2,10.1.1.22,10.1.1.19,2,1
1.527596,9,10.1.1.19,10.1.1.22,1,1
1.527596,9,10.1.1.22,10.1.1.19,2,1
1.527597,16,10.1.1.19,10.1.1.22,1,1
1.527597,16,10.1.1.22,10.1.1.19,2,1
1.527597,1,10.1.1.19,10.1.1.22,1,1
1.527597,1,10.1.1.22,10.1.1.19,2,1
