Protocol,Mode,Nodes,Sinks,Seed,Trace,SimTime,MinSpeed,MaxSpeed,CcBaseThreshold,TxPackets,RxPackets,LostPackets,PDR(%),PacketLossRate(%),AvgE2EDelay(ms),Throughput(Kbps)
ECC-AODV,ecc-aodv,20,10,1,1,30.00,0.00,5.00,4,2394,1997,397,83.42,16.58,78.9123,136.34
ECC-AODV,ecc-aodv,20,10,1,1,30.00,0.00,5.00,4,2394,1997,397,83.42,16.58,78.9123,136.34
ECC-AODV,ecc-aodv,20,10,1,1,30.00,0.00,5.00,4,2394,1997,397,83.42,16.58,78.9123,136.34
ECC-AODV,ecc-aodv,20,10,1,1,30.00,0.00,5.00,4,2394,1997,397,83.42,16.58,78.9123,136.34
ECC-AODV,ecc-aodv,20,10,1,1,30.00,4.00,10.00,4,2802,2195,607,78.34,21.66,97.4448,116.49
ECC-AODV,ecc-aodv,20,10,1,1,30.00,4.00,10.00,4,2802,2195,607,78.34,21.66,97.4448,116.49
ECC-AODV,ecc-aodv,20,10,1,1,30.00,4.00,10.00,4,2823,2219,604,78.60,21.40,99.3266,117.04
ECC-AODV,ecc-aodv,20,10,1,1,30.00,4.00,10.00,4,2802,2195,607,78.34,21.66,97.4448,116.49
ECC-AODV,ecc-aodv,30,15,1,1,30.00,0.00,5.00,4,10366,8764,1602,84.55,15.45,113.0747,265.84
ECC-AODV,ecc-aodv,30,15,1,1,30.00,0.00,5.00,4,9144,7760,1384,84.86,15.14,108.9341,248.82
ECC-AODV,ecc-aodv,30,15,1,1,30.00,0.00,5.00,4,8682,7345,1337,84.60,15.40,105.1319,250.58
ECC-AODV,ecc-aodv,30,15,1,1,30.00,0.00,5.00,4,9144,7760,1384,84.86,15.14,108.9341,248.82
ECC-AODV,ecc-aodv,30,15,1,1,30.00,4.00,10.00,4,8648,7298,1350,84.39,15.61,136.6435,246.14
ECC-AODV,ecc-aodv,30,15,1,1,30.00,4.00,10.00,4,9832,8634,1198,87.82,12.18,138.1682,289.96
ECC-AODV,ecc-aodv,30,15,1,1,30.00,4.00,10.00,4,9515,7956,1559,83.62,16.38,141.1306,256.21
ECC-AODV,ecc-aodv,30,15,1,1,30.00,4.00,10.00,4,9832,8634,1198,87.82,12.18,138.1682,289.96
ECC-AODV,ecc-aodv,40,20,1,1,30.00,0.00,5.00,4,10389,7477,2912,71.97,28.03,190.9262,258.43
ECC-AODV,ecc-aodv,40,20,1,1,30.00,0.00,5.00,4,12046,8550,3496,70.98,29.02,159.9624,258.82
ECC-AODV,ecc-aodv,40,20,1,1,30.00,0.00,5.00,4,7478,5345,2133,71.48,28.52,177.0757,241.86
ECC-AODV,ecc-aodv,40,20,1,1,30.00,0.00,5.00,4,12046,8550,3496,70.98,29.02,159.9624,258.82
ECC-AODV,ecc-aodv,40,20,1,1,30.00,4.00,10.00,4,10507,7889,2618,75.08,24.92,179.1132,312.26
ECC-AODV,ecc-aodv,40,20,1,1,30.00,4.00,10.00,4,9580,7424,2156,77.49,22.51,171.0247,301.59
ECC-AODV,ecc-aodv,40,20,1,1,30.00,4.00,10.00,4,8096,5879,2217,72.62,27.38,201.9853,263.81
ECC-AODV,ecc-aodv,40,20,1,1,30.00,4.00,10.00,4,9580,7424,2156,77.49,22.51,171.0247,301.59
