nodes,sinks,speed_min,speed_max,w1,w2,w3,pdr,delay_ms,throughput_kbps,loss_rate
20,10,0,5,0.3,0.4,0.3,83.42,78.9123,136.34,16.58
20,10,0,5,0.5,0.3,0.2,83.42,78.9123,136.34,16.58
20,10,0,5,0.2,0.5,0.3,83.42,78.9123,136.34,16.58
20,10,0,5,0.3,0.3,0.4,83.42,78.9123,136.34,16.58
20,10,0,5,0.4,0.4,0.2,83.42,78.9123,136.34,16.58
20,10,0,5,0.1,0.5,0.4,83.42,78.9123,136.34,16.58
20,10,0,5,0.6,0.2,0.2,86.92,85.2160,151.61,13.08
20,10,0,5,0.2,0.2,0.6,86.92,85.2160,151.61,13.08
20,10,4,10,0.3,0.4,0.3,78.34,97.4448,116.49,21.66
20,10,4,10,0.5,0.3,0.2,78.34,97.4448,116.49,21.66
20,10,4,10,0.2,0.5,0.3,78.60,99.3266,117.04,21.40
20,10,4,10,0.3,0.3,0.4,78.34,97.4448,116.49,21.66
20,10,4,10,0.4,0.4,0.2,78.34,97.4448,116.49,21.66
20,10,4,10,0.1,0.5,0.4,78.60,99.3266,117.04,21.40
20,10,4,10,0.6,0.2,0.2,77.70,92.7839,114.75,22.30
20,10,4,10,0.2,0.2,0.6,77.70,92.7839,114.75,22.30
30,15,0,5,0.3,0.4,0.3,84.55,113.0747,265.84,15.45
30,15,0,5,0.5,0.3,0.2,84.86,108.9341,248.82,15.14
30,15,0,5,0.2,0.5,0.3,84.60,105.1319,250.58,15.40
30,15,0,5,0.3,0.3,0.4,84.86,108.9341,248.82,15.14
30,15,0,5,0.4,0.4,0.2,84.55,113.0747,265.84,15.45
30,15,0,5,0.1,0.5,0.4,84.60,105.1319,250.58,15.40
30,15,0,5,0.6,0.2,0.2,87.66,114.1751,265.62,12.34
30,15,0,5,0.2,0.2,0.6,87.66,114.1751,265.62,12.34
30,15,4,10,0.3,0.4,0.3,84.39,136.6435,246.14,15.61
30,15,4,10,0.5,0.3,0.2,87.82,138.1682,289.96,12.18
30,15,4,10,0.2,0.5,0.3,83.62,141.1306,256.21,16.38
30,15,4,10,0.3,0.3,0.4,87.82,138.1682,289.96,12.18
30,15,4,10,0.4,0.4,0.2,84.39,136.6435,246.14,15.61
30,15,4,10,0.1,0.5,0.4,83.62,141.1306,256.21,16.38
30,15,4,10,0.6,0.2,0.2,83.91,135.5202,255.68,16.09
30,15,4,10,0.2,0.2,0.6,83.91,135.5202,255.68,16.09
40,20,0,5,0.3,0.4,0.3,71.97,190.9262,258.43,28.03
40,20,0,5,0.5,0.3,0.2,70.98,159.9624,258.82,29.02
40,20,0,5,0.2,0.5,0.3,71.48,177.0757,241.86,28.52
40,20,0,5,0.3,0.3,0.4,70.98,159.9624,258.82,29.02
40,20,0,5,0.4,0.4,0.2,71.97,190.9262,258.43,28.03
40,20,0,5,0.1,0.5,0.4,71.48,177.0757,241.86,28.52
40,20,0,5,0.6,0.2,0.2,70.61,186.3555,248.76,29.39
40,20,0,5,0.2,0.2,0.6,70.61,186.3555,248.76,29.39
40,20,4,10,0.3,0.4,0.3,75.08,179.1132,312.26,24.92
40,20,4,10,0.5,0.3,0.2,77.49,171.0247,301.59,22.51
40,20,4,10,0.2,0.5,0.3,72.62,201.9853,263.81,27.38
40,20,4,10,0.3,0.3,0.4,77.49,171.0247,301.59,22.51
40,20,4,10,0.4,0.4,0.2,75.08,179.1132,312.26,24.92
40,20,4,10,0.1,0.5,0.4,72.62,201.9853,263.81,27.38
40,20,4,10,0.6,0.2,0.2,73.65,194.9558,292.29,26.35
40,20,4,10,0.2,0.2,0.6,73.65,194.9558,292.29,26.35
