run_id,nodes,sinks,min_speed,max_speed,w1,w2,w3,pdr,delay_ms,throughput_kbps,loss_rate
1,20,10,0,5,0.3,0.4,0.3,0,0,0,100
2,20,10,0,5,0.5,0.3,0.2,0,0,0,100
3,20,10,0,5,0.2,0.5,0.3,0,0,0,100
4,20,10,0,5,0.3,0.3,0.4,0,0,0,100
5,20,10,4,10,0.3,0.4,0.3,0,0,0,100
6,20,10,4,10,0.5,0.3,0.2,0,0,0,100
7,20,10,4,10,0.2,0.5,0.3,0,0,0,100
8,20,10,4,10,0.3,0.3,0.4,0,0,0,100
9,30,15,0,5,0.3,0.4,0.3,0,0,0,100
10,30,15,0,5,0.5,0.3,0.2,0,0,0,100
11,30,15,0,5,0.2,0.5,0.3,0,0,0,100
12,30,15,0,5,0.3,0.3,0.4,0,0,0,100
13,30,15,4,10,0.3,0.4,0.3,0,0,0,100
14,30,15,4,10,0.5,0.3,0.2,0,0,0,100
15,30,15,4,10,0.2,0.5,0.3,0,0,0,100
16,30,15,4,10,0.3,0.3,0.4,0,0,0,100
17,40,20,0,5,0.3,0.4,0.3,0,0,0,100
18,40,20,0,5,0.5,0.3,0.2,0,0,0,100
19,40,20,0,5,0.2,0.5,0.3,0,0,0,100
20,40,20,0,5,0.3,0.3,0.4,0,0,0,100
21,40,20,4,10,0.3,0.4,0.3,0,0,0,100
22,40,20,4,10,0.5,0.3,0.2,0,0,0,100
23,40,20,4,10,0.2,0.5,0.3,0,0,0,100
24,40,20,4,10,0.3,0.3,0.4,0,0,0,100
