Time(s),NodeId,QueueSize(packets)
1.00,0,0
1.00,1,0
1.00,2,0
1.00,3,0
1.00,4,0
1.00,5,0
1.00,6,0
1.00,7,0
1.00,8,0
1.00,9,0
1.00,10,0
1.00,11,0
1.00,12,0
1.00,13,0
1.00,14,0
1.00,15,0
1.00,16,0
1.00,17,0
1.00,18,0
1.00,19,0
2.00,0,0
2.00,1,0
2.00,2,0
2.00,3,0
2.00,4,0
2.00,5,0
2.00,6,0
2.00,7,0
2.00,8,0
2.00,9,0
2.00,10,0
2.00,11,0
2.00,12,11
2.00,13,0
2.00,14,64
2.00,15,0
2.00,16,0
2.00,17,0
2.00,18,41
2.00,19,0
3.00,0,64
3.00,1,0
3.00,2,0
3.00,3,0
3.00,4,22
3.00,5,0
3.00,6,44
3.00,7,0
3.00,8,0
3.00,9,0
3.00,10,15
3.00,11,0
3.00,12,0
3.00,13,64
3.00,14,33
3.00,15,0
3.00,16,0
3.00,17,64
3.00,18,0
3.00,19,0
4.00,0,64
4.00,1,0
4.00,2,0
4.00,3,23
4.00,4,64
4.00,5,0
4.00,6,64
4.00,7,64
4.00,8,0
4.00,9,0
4.00,10,0
4.00,11,64
4.00,12,0
4.00,13,0
4.00,14,0
4.00,15,0
4.00,16,0
4.00,17,0
4.00,18,0
4.00,19,0
5.00,0,64
5.00,1,1
5.00,2,0
5.00,3,0
5.00,4,64
5.00,5,0
5.00,6,0
5.00,7,0
5.00,8,0
5.00,9,0
5.00,10,0
5.00,11,64
5.00,12,64
5.00,13,0
5.00,14,0
5.00,15,0
5.00,16,11
5.00,17,64
5.00,18,20
5.00,19,0
6.00,0,64
6.00,1,0
6.00,2,0
6.00,3,64
6.00,4,0
6.00,5,0
6.00,6,0
6.00,7,64
6.00,8,4
6.00,9,0
6.00,10,0
6.00,11,0
6.00,12,0
6.00,13,64
6.00,14,0
6.00,15,0
6.00,16,62
6.00,17,64
6.00,18,0
6.00,19,0
7.00,0,64
7.00,1,0
7.00,2,0
7.00,3,39
7.00,4,64
7.00,5,0
7.00,6,19
7.00,7,20
7.00,8,0
7.00,9,32
7.00,10,1
7.00,11,64
7.00,12,64
7.00,13,0
7.00,14,0
7.00,15,64
7.00,16,23
7.00,17,0
7.00,18,54
7.00,19,0
8.00,0,64
8.00,1,0
8.00,2,0
8.00,3,32
8.00,4,0
8.00,5,10
8.00,6,64
8.00,7,0
8.00,8,0
8.00,9,8
8.00,10,0
8.00,11,64
8.00,12,54
8.00,13,10
8.00,14,0
8.00,15,0
8.00,16,64
8.00,17,0
8.00,18,0
8.00,19,0
9.00,0,64
9.00,1,0
9.00,2,0
9.00,3,56
9.00,4,0
9.00,5,0
9.00,6,59
9.00,7,0
9.00,8,64
9.00,9,24
9.00,10,0
9.00,11,0
9.00,12,0
9.00,13,64
9.00,14,0
9.00,15,0
9.00,16,0
9.00,17,0
9.00,18,9
9.00,19,0
10.00,0,64
10.00,1,0
10.00,2,0
10.00,3,42
10.00,4,31
10.00,5,0
10.00,6,64
10.00,7,61
10.00,8,0
10.00,9,0
10.00,10,0
10.00,11,64
10.00,12,0
10.00,13,64
10.00,14,0
10.00,15,0
10.00,16,0
10.00,17,0
10.00,18,18
10.00,19,0
11.00,0,64
11.00,1,0
11.00,2,0
11.00,3,13
11.00,4,64
11.00,5,0
11.00,6,37
11.00,7,64
