Time(s),NodeId,QueueSize(packets)
1.00,0,0
1.00,1,0
1.00,2,0
1.00,3,0
1.00,4,0
1.00,5,0
1.00,6,0
1.00,7,0
1.00,8,0
1.00,9,0
1.00,10,0
1.00,11,0
1.00,12,0
1.00,13,0
1.00,14,0
1.00,15,0
1.00,16,0
1.00,17,0
1.00,18,0
1.00,19,0
2.00,0,0
2.00,1,0
2.00,2,0
2.00,3,0
2.00,4,0
2.00,5,0
2.00,6,0
2.00,7,0
2.00,8,0
2.00,9,0
2.00,10,0
2.00,11,0
2.00,12,11
2.00,13,0
2.00,14,64
2.00,15,0
2.00,16,0
2.00,17,0
2.00,18,41
2.00,19,0
3.00,0,64
3.00,1,0
3.00,2,0
3.00,3,0
3.00,4,22
3.00,5,0
3.00,6,44
3.00,7,0
3.00,8,0
3.00,9,0
3.00,10,15
3.00,11,0
3.00,12,0
3.00,13,64
3.00,14,33
3.00,15,0
3.00,16,0
3.00,17,64
3.00,18,0
3.00,19,0
4.00,0,64
4.00,1,0
4.00,2,0
4.00,3,7
4.00,4,0
4.00,5,0
4.00,6,0
4.00,7,64
4.00,8,0
4.00,9,1
4.00,10,0
4.00,11,64
4.00,12,0
4.00,13,0
4.00,14,0
4.00,15,0
4.00,16,0
4.00,17,0
4.00,18,0
4.00,19,0
5.00,0,64
5.00,1,0
5.00,2,0
5.00,3,0
5.00,4,0
5.00,5,9
5.00,6,0
5.00,7,26
5.00,8,64
5.00,9,0
5.00,10,0
5.00,11,36
5.00,12,53
5.00,13,0
5.00,14,0
5.00,15,44
5.00,16,0
5.00,17,47
5.00,18,14
5.00,19,0
6.00,0,64
6.00,1,0
6.00,2,0
6.00,3,0
6.00,4,0
6.00,5,64
6.00,6,0
6.00,7,45
6.00,8,24
6.00,9,0
6.00,10,18
6.00,11,64
6.00,12,0
6.00,13,1
6.00,14,0
6.00,15,0
6.00,16,0
6.00,17,0
6.00,18,1
6.00,19,64
7.00,0,64
7.00,1,0
7.00,2,0
7.00,3,0
7.00,4,0
7.00,5,0
7.00,6,0
7.00,7,0
7.00,8,64
7.00,9,0
7.00,10,0
7.00,11,0
7.00,12,12
7.00,13,5
7.00,14,13
7.00,15,0
7.00,16,0
7.00,17,0
7.00,18,64
7.00,19,64
8.00,0,64
8.00,1,52
8.00,2,0
8.00,3,0
8.00,4,0
8.00,5,64
8.00,6,0
8.00,7,0
8.00,8,13
8.00,9,0
8.00,10,0
8.00,11,64
8.00,12,31
8.00,13,0
8.00,14,64
8.00,15,0
8.00,16,64
8.00,17,10
8.00,18,64
8.00,19,64
9.00,0,0
9.00,1,38
9.00,2,0
9.00,3,0
9.00,4,0
9.00,5,0
9.00,6,0
9.00,7,64
9.00,8,64
9.00,9,64
9.00,10,64
9.00,11,64
9.00,12,62
9.00,13,0
9.00,14,64
9.00,15,0
9.00,16,0
9.00,17,0
9.00,18,14
9.00,19,64
10.00,0,0
10.00,1,30
10.00,2,0
10.00,3,26
10.00,4,0
10.00,5,46
10.00,6,43
10.00,7,58
10.00,8,24
10.00,9,55
10.00,10,64
10.00,11,64
10.00,12,64
10.00,13,64
10.00,14,64
10.00,15,0
10.00,16,0
10.00,17,1
10.00,18,12
10.00,19,64
11.00,0,0
11.00,1,55
11.00,2,0
11.00,3,47
11.00,4,0
11.00,5,64
11.00,6,0
11.00,7,19
