Time(s),NodeId,QueueSize(packets)
1.00,0,0
1.00,1,0
1.00,2,0
1.00,3,0
1.00,4,0
1.00,5,0
1.00,6,0
1.00,7,0
1.00,8,0
1.00,9,0
1.00,10,0
1.00,11,0
1.00,12,0
1.00,13,0
1.00,14,0
1.00,15,0
1.00,16,0
1.00,17,0
1.00,18,0
1.00,19,0
2.00,0,0
2.00,1,0
2.00,2,0
2.00,3,0
2.00,4,0
2.00,5,0
2.00,6,0
2.00,7,0
2.00,8,0
2.00,9,0
2.00,10,0
2.00,11,0
2.00,12,0
2.00,13,0
2.00,14,64
2.00,15,0
2.00,16,0
2.00,17,0
2.00,18,30
2.00,19,0
3.00,0,0
3.00,1,0
3.00,2,0
3.00,3,0
3.00,4,0
3.00,5,0
3.00,6,0
3.00,7,64
3.00,8,0
3.00,9,0
3.00,10,0
3.00,11,0
3.00,12,0
3.00,13,0
3.00,14,64
3.00,15,0
3.00,16,0
3.00,17,64
3.00,18,0
3.00,19,64
4.00,0,64
4.00,1,0
4.00,2,0
4.00,3,0
4.00,4,0
4.00,5,64
4.00,6,64
4.00,7,0
4.00,8,0
4.00,9,0
4.00,10,42
4.00,11,64
4.00,12,0
4.00,13,0
4.00,14,0
4.00,15,49
4.00,16,0
4.00,17,1
4.00,18,0
4.00,19,64
5.00,0,0
5.00,1,0
5.00,2,0
5.00,3,0
5.00,4,0
5.00,5,0
5.00,6,0
5.00,7,0
5.00,8,0
5.00,9,0
5.00,10,0
5.00,11,0
5.00,12,0
5.00,13,0
5.00,14,1
5.00,15,46
5.00,16,0
5.00,17,0
5.00,18,0
5.00,19,64
6.00,0,0
6.00,1,0
6.00,2,0
6.00,3,0
6.00,4,1
6.00,5,0
6.00,6,0
6.00,7,0
6.00,8,64
6.00,9,36
6.00,10,0
6.00,11,0
6.00,12,52
6.00,13,0
6.00,14,0
6.00,15,64
6.00,16,0
6.00,17,0
6.00,18,0
6.00,19,64
7.00,0,0
7.00,1,0
7.00,2,0
7.00,3,0
7.00,4,0
7.00,5,0
7.00,6,0
7.00,7,64
7.00,8,41
7.00,9,33
7.00,10,58
7.00,11,0
7.00,12,64
7.00,13,0
7.00,14,0
7.00,15,0
7.00,16,0
7.00,17,5
7.00,18,0
7.00,19,64
8.00,0,0
8.00,1,0
8.00,2,0
8.00,3,0
8.00,4,0
8.00,5,0
8.00,6,0
8.00,7,0
8.00,8,0
8.00,9,0
8.00,10,0
8.00,11,64
8.00,12,64
8.00,13,0
8.00,14,0
8.00,15,0
8.00,16,0
8.00,17,0
8.00,18,36
8.00,19,0
9.00,0,0
9.00,1,0
9.00,2,0
9.00,3,0
9.00,4,0
9.00,5,0
9.00,6,0
9.00,7,0
9.00,8,0
9.00,9,32
9.00,10,0
9.00,11,3
9.00,12,64
9.00,13,0
9.00,14,0
9.00,15,0
9.00,16,0
9.00,17,64
9.00,18,0
9.00,19,0
10.00,0,0
10.00,1,64
10.00,2,0
10.00,3,0
10.00,4,0
10.00,5,0
10.00,6,0
10.00,7,0
10.00,8,0
10.00,9,0
10.00,10,64
10.00,11,64
10.00,12,0
10.00,13,0
10.00,14,1
10.00,15,0
10.00,16,0
10.00,17,0
10.00,18,4
10.00,19,0
11.00,0,0
11.00,1,64
11.00,2,0
11.00,3,0
11.00,4,0
11.00,5,0
11.00,6,0
11.00,7,0
