Time(s),NodeId,QueueSize(packets)
1.00,0,0
1.00,1,0
1.00,2,0
1.00,3,0
1.00,4,0
1.00,5,0
1.00,6,0
1.00,7,0
1.00,8,0
1.00,9,0
1.00,10,0
1.00,11,0
1.00,12,0
1.00,13,0
1.00,14,0
1.00,15,0
1.00,16,0
1.00,17,0
1.00,18,0
1.00,19,0
2.00,0,64
2.00,1,64
2.00,2,0
2.00,3,0
2.00,4,0
2.00,5,64
2.00,6,39
2.00,7,64
2.00,8,64
2.00,9,64
2.00,10,64
2.00,11,0
2.00,12,64
2.00,13,0
2.00,14,64
2.00,15,0
2.00,16,44
2.00,17,0
2.00,18,64
2.00,19,64
3.00,0,11
3.00,1,64
3.00,2,0
3.00,3,64
3.00,4,7
3.00,5,5
3.00,6,64
3.00,7,0
3.00,8,64
3.00,9,0
3.00,10,64
3.00,11,0
3.00,12,64
3.00,13,56
3.00,14,64
3.00,15,64
3.00,16,64
3.00,17,0
3.00,18,64
3.00,19,64
4.00,0,64
4.00,1,0
4.00,2,64
4.00,3,64
4.00,4,0
4.00,5,38
4.00,6,0
4.00,7,0
4.00,8,64
4.00,9,0
4.00,10,64
4.00,11,0
4.00,12,64
4.00,13,37
4.00,14,0
4.00,15,64
4.00,16,0
4.00,17,0
4.00,18,64
4.00,19,64
5.00,0,13
5.00,1,0
5.00,2,64
5.00,3,64
5.00,4,59
5.00,5,0
5.00,6,0
5.00,7,64
5.00,8,64
5.00,9,0
5.00,10,64
5.00,11,64
5.00,12,64
5.00,13,64
5.00,14,22
5.00,15,64
5.00,16,64
5.00,17,0
5.00,18,64
5.00,19,64
6.00,0,34
6.00,1,0
6.00,2,62
6.00,3,14
6.00,4,64
6.00,5,27
6.00,6,64
6.00,7,64
6.00,8,0
6.00,9,0
6.00,10,64
6.00,11,64
6.00,12,0
6.00,13,64
6.00,14,64
6.00,15,64
6.00,16,0
6.00,17,64
6.00,18,64
6.00,19,0
7.00,0,64
7.00,1,1
7.00,2,51
7.00,3,64
7.00,4,0
7.00,5,64
7.00,6,1
7.00,7,64
7.00,8,0
7.00,9,0
7.00,10,64
7.00,11,64
7.00,12,0
7.00,13,0
7.00,14,9
7.00,15,64
7.00,16,10
7.00,17,64
7.00,18,64
7.00,19,1
8.00,0,64
8.00,1,0
8.00,2,12
8.00,3,64
8.00,4,0
8.00,5,56
8.00,6,64
8.00,7,64
8.00,8,64
8.00,9,0
8.00,10,64
8.00,11,64
8.00,12,0
8.00,13,26
8.00,14,64
8.00,15,64
8.00,16,64
8.00,17,51
8.00,18,64
8.00,19,64
9.00,0,24
9.00,1,64
9.00,2,45
9.00,3,55
9.00,4,0
9.00,5,64
9.00,6,64
9.00,7,64
9.00,8,64
9.00,9,34
9.00,10,64
9.00,11,64
9.00,12,0
9.00,13,64
9.00,14,64
9.00,15,64
9.00,16,0
9.00,17,22
9.00,18,17
9.00,19,64
10.00,0,64
10.00,1,0
10.00,2,28
10.00,3,0
10.00,4,0
10.00,5,64
10.00,6,64
10.00,7,64
10.00,8,64
10.00,9,64
10.00,10,64
10.00,11,64
10.00,12,15
10.00,13,52
10.00,14,26
10.00,15,64
10.00,16,15
10.00,17,1
10.00,18,27
10.00,19,64
11.00,0,64
11.00,1,0
11.00,2,64
11.00,3,0
11.00,4,0
11.00,5,0
11.00,6,64
11.00,7,64
