Protocol,Mode,Network,Topology,AreaMultiplier,Nodes,Sinks,PPS,PacketSize,Seed,SimTime,MinSpeed,MaxSpeed,CcBaseThreshold,TxPackets,RxPackets,LostPackets,PDR(%),PacketLossRate(%),AvgE2EDelay(ms),Throughput(Kbps),TotalEnergyJ,AvgEnergyPerNodeJ
Standard AODV,aodv,802.11,mobile,5.00,100,50,100,512,1,30.00,5.00,5.00,4,163777,9479,154298,5.79,94.21,323.2558,304.05,3397.1741,33.9717
Standard AODV,aodv,802.11,mobile,1.00,20,10,100,512,1,30.00,25.00,25.00,4,34406,20868,13538,60.65,39.35,306.6761,2488.24,688.5633,34.4282
Standard AODV,aodv,802.11,mobile,2.00,40,20,100,512,1,30.00,20.00,20.00,4,63296,15232,48064,24.06,75.94,385.2331,1776.24,1368.9265,34.2232
Standard AODV,aodv,802.11,mobile,3.00,60,30,100,512,1,30.00,15.00,15.00,4,96592,14652,81940,15.17,84.83,314.1970,1457.71,2051.2848,34.1881
Standard AODV,aodv,802.11,mobile,4.00,80,40,100,512,1,30.00,10.00,10.00,4,128644,14026,114618,10.90,89.10,338.6009,1354.38,2731.1642,34.1396
CC-AODV,cc-aodv,802.11,mobile,5.00,100,50,100,512,1,30.00,5.00,5.00,4,166025,9407,156618,5.67,94.33,325.4663,285.02,3397.4640,33.9746
CC-AODV,cc-aodv,802.11,mobile,1.00,20,10,100,512,1,30.00,25.00,25.00,4,32922,20471,12451,62.18,37.82,254.9016,2554.56,688.1846,34.4092
CC-AODV,cc-aodv,802.11,mobile,2.00,40,20,100,512,1,30.00,20.00,20.00,4,62999,17074,45925,27.10,72.90,355.9939,2067.08,1368.2020,34.2050
CC-AODV,cc-aodv,802.11,mobile,3.00,60,30,100,512,1,30.00,15.00,15.00,4,94466,12876,81590,13.63,86.37,297.1901,1370.02,2046.4353,34.1073
CC-AODV,cc-aodv,802.11,mobile,4.00,80,40,100,512,1,30.00,10.00,10.00,4,127612,13152,114460,10.31,89.69,304.9033,1251.65,2726.6926,34.0837
ECC-AODV,ecc-aodv,802.11,mobile,5.00,100,50,100,512,1,30.00,5.00,5.00,4,165231,11026,154205,6.67,93.33,323.2194,436.14,3404.0824,34.0408
ECC-AODV,ecc-aodv,802.11,mobile,1.00,20,10,100,512,1,30.00,25.00,25.00,4,34356,21249,13107,61.85,38.15,289.2030,2533.15,688.5445,34.4272
ECC-AODV,ecc-aodv,802.11,mobile,2.00,40,20,100,512,1,30.00,20.00,20.00,4,62728,17922,44806,28.57,71.43,360.6114,2210.00,1368.2232,34.2056
ECC-AODV,ecc-aodv,802.11,mobile,3.00,60,30,100,512,1,30.00,15.00,15.00,4,96648,16140,80508,16.70,83.30,287.7406,1477.29,2053.1901,34.2198
ECC-AODV,ecc-aodv,802.11,mobile,4.00,80,40,100,512,1,30.00,10.00,10.00,4,125687,13322,112365,10.60,89.40,360.0516,1363.67,2725.2092,34.0651
Standard AODV,aodv,802.11,static,5.00,100,50,100,512,1,30.00,5.00,5.00,4,161928,16230,145698,10.02,89.98,185.9270,1163.29,3380.4435,33.8044
Standard AODV,aodv,802.11,static,1.00,20,10,100,512,1,30.00,25.00,25.00,4,34830,25241,9589,72.47,27.53,347.1314,3090.43,689.9327,34.4966
Standard AODV,aodv,802.11,static,2.00,40,20,100,512,1,30.00,20.00,20.00,4,61950,19494,42456,31.47,68.53,182.8455,2492.30,1366.3374,34.1584
Standard AODV,aodv,802.11,static,3.00,60,30,100,512,1,30.00,15.00,15.00,4,96856,11765,85091,12.15,87.85,214.4536,1049.73,2041.4079,34.0235
Standard AODV,aodv,802.11,static,4.00,80,40,100,512,1,30.00,10.00,10.00,4,129829,18684,111145,14.39,85.61,198.1890,1829.34,2714.3052,33.9288
CC-AODV,cc-aodv,802.11,static,5.00,100,50,100,512,1,30.00,5.00,5.00,4,160994,16196,144798,10.06,89.94,207.2036,1231.77,3381.4030,33.8140
CC-AODV,cc-aodv,802.11,static,1.00,20,10,100,512,1,30.00,25.00,25.00,4,33115,24877,8238,75.12,24.88,341.9445,3137.10,689.7966,34.4898
CC-AODV,cc-aodv,802.11,static,2.00,40,20,100,512,1,30.00,20.00,20.00,4,62043,20416,41627,32.91,67.09,252.6690,2617.69,1367.6666,34.1917
CC-AODV,cc-aodv,802.11,static,3.00,60,30,100,512,1,30.00,15.00,15.00,4,96009,10887,85122,11.34,88.66,201.5454,952.65,2042.7068,34.0451
CC-AODV,cc-aodv,802.11,static,4.00,80,40,100,512,1,30.00,10.00,10.00,4,128949,18020,110929,13.97,86.03,193.1474,1778.22,2714.5346,33.9317
ECC-AODV,ecc-aodv,802.11,static,5.00,100,50,100,512,1,30.00,5.00,5.00,4,159611,16032,143579,10.04,89.96,189.3664,1288.94,3381.1380,33.8114
ECC-AODV,ecc-aodv,802.11,static,1.00,20,10,100,512,1,30.00,25.00,25.00,4,36322,24897,11425,68.55,31.45,344.7272,2939.24,689.4752,34.4738
ECC-AODV,ecc-aodv,802.11,static,2.00,40,20,100,512,1,30.00,20.00,20.00,4,61930,21020,40910,33.94,66.06,287.8366,2740.45,1368.1964,34.2049
ECC-AODV,ecc-aodv,802.11,static,3.00,60,30,100,512,1,30.00,15.00,15.00,4,97170,12020,85150,12.37,87.63,232.2597,1025.64,2041.9969,34.0333
ECC-AODV,ecc-aodv,802.11,static,4.00,80,40,100,512,1,30.00,10.00,10.00,4,126244,17407,108837,13.79,86.21,178.3949,1769.27,2710.8141,33.8852
